event_id,device_id,event_type,event_value,event_ts,payload
e_0,d_87cfe321,telemetry,see_payload,2024-01-18T17:45:43.000Z,"{""metadata"": {""oem_model"": ""door_sensor"", ""dsn"": ""ACD6F3E680-6""}, ""datapoint"": {""property"": ""contact_state"", ""value"": 1, ""echo"": false}}"
e_1,d_fddd9d33,telemetry,see_payload,2024-02-04T16:18:19.000Z,"{""metadata"": {""oem_model"": ""window_sensor"", ""dsn"": ""ACBD3158F1-B""}, ""datapoint"": {""property"": ""contact_state"", ""value"": 1, ""echo"": false}}"
e_2,d_c5859fb6,telemetry,see_payload,2024-01-12T10:57:04.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_3,d_de3f2763,telemetry,see_payload,2024-01-02T08:09:18.000Z,"{""status"": [{""code"": ""switch_led"", ""value"": false}, {""code"": ""bright_value"", ""value"": 301}, {""code"": ""temp_value"", ""value"": 96}]}"
e_4,d_8406c179,telemetry,see_payload,2024-01-23T01:15:16.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_5,d_f4abcb9e,telemetry,see_payload,2024-01-28T22:50:56.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_6,d_cbed980f,telemetry,see_payload,2024-01-25T19:39:04.000Z,"{""status"": [{""code"": ""switch_led"", ""value"": true}, {""code"": ""bright_value"", ""value"": 931}, {""code"": ""temp_value"", ""value"": 515}]}"
e_7,d_c842f77d,telemetry,see_payload,2024-01-16T13:15:12.000Z,"{""metadata"": {""oem_model"": ""door_sensor"", ""dsn"": ""ACA30A35F7-6""}, ""datapoint"": {""property"": ""contact_state"", ""value"": 1, ""echo"": false}}"
e_8,d_124b2cf3,telemetry,see_payload,2024-01-26T21:00:27.000Z,"{""metadata"": {""oem_model"": ""door_sensor"", ""dsn"": ""ACE3E7A0E4-2""}, ""datapoint"": {""property"": ""contact_state"", ""value"": 0, ""echo"": false}}"
e_9,d_cbeede04,telemetry,see_payload,2024-01-04T11:55:38.000Z,"{""metadata"": {""dsn"": ""AC4FB75E53-6""}, ""datapoint"": {""property"": ""connectivity"", ""value"": ""connected""}}"
e_10,d_f4abcb9e,telemetry,see_payload,2024-02-01T09:23:29.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_11,d_66c4cd5f,telemetry,see_payload,2024-01-01T06:57:06.000Z,"{""status"": [{""code"": ""switch_led"", ""value"": false}, {""code"": ""bright_value"", ""value"": 850}, {""code"": ""temp_value"", ""value"": 299}]}"
e_12,d_6adf5f39,telemetry,see_payload,2024-01-13T12:24:25.000Z,"{""status"": [{""code"": ""switch_led"", ""value"": false}, {""code"": ""bright_value"", ""value"": 842}, {""code"": ""temp_value"", ""value"": 892}]}"
e_13,d_676ba966,telemetry,see_payload,2024-01-09T22:53:37.000Z,"{""metadata"": {""oem_model"": ""honeywell_t6"", ""dsn"": ""ACC979F89B-5""}, ""datapoint"": {""property"": ""local_temperature"", ""value"": 25.4, ""scale"": ""C""}}"
e_14,d_cb93116e,telemetry,see_payload,2024-01-06T07:36:33.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_15,d_1c8085ef,telemetry,see_payload,2024-01-14T12:06:41.000Z,"{""metadata"": {""oem_model"": ""window_sensor"", ""dsn"": ""ACCBF817B1-0""}, ""datapoint"": {""property"": ""contact_state"", ""value"": 1, ""echo"": false}}"
e_16,d_f4abcb9e,telemetry,see_payload,2024-01-25T12:21:03.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_17,d_61493a15,telemetry,see_payload,2024-01-07T04:27:58.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_18,d_e88067e8,telemetry,see_payload,2024-01-15T09:24:22.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_19,d_75c94d95,telemetry,see_payload,2024-01-19T09:54:25.000Z,"{""status"": [{""code"": ""switch_1"", ""value"": false}, {""code"": ""countdown_1"", ""value"": 14}, {""code"": ""cur_current"", ""value"": 1077}, {""code"": ""cur_power"", ""value"": 350}, {""code"": ""cur_voltage"", ""value"": 1244}]}"
e_20,d_4fd651fd,telemetry,see_payload,2024-01-13T06:36:00.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_21,d_486e7896,telemetry,see_payload,2024-02-03T03:14:18.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_22,d_f4abcb9e,telemetry,see_payload,2024-01-10T03:15:31.000Z,"{""status"": [{""code"": ""generic_state"", ""value"": ""online""}]}"
e_23,d_ca9876a7,telemetry,see_payload,2024-01-29T10:01:07.000Z,"{""metadata"": {""oem_model"": ""window_sensor"", ""dsn"": ""ACE716E8A4-3""}, ""datapoint"": {""property"": ""contact_state"", ""value"": 0, ""echo"": false}}"
e_24,d_13a3e0c6,telemetry,see_payload,2024-01-31T18:11:12.000Z,"{""status"": [{""code"": ""switch_led"", ""value"": false}, {""code"": ""bright_value"", ""value"": 230}, {""code"": ""temp_value"", ""value"": 228}]}"
